file,sample,treatment,population,time,clone,total,base_substitution,small_indel,large_deletion,large_insertion,large_amplification,large_substitution,mobile_element_insertion,gene_conversion,inversion,called_bp,total_bp,base_substitution.synonymous,base_substitution.nonsynonymous,base_substitution.nonsense,base_substitution.noncoding,base_substitution.pseudogene,base_substitution.intergenic,mobile_element.IS1,mobile_element.IS150,mobile_element.IS186,mobile_element.IS3,mobile_element.IS4,mobile_element.mediated.IS1,mobile_element.mediated.IS150,mobile_element.mediated.IS186,mobile_element.mediated.IS3
Ara+1.0.to.10000gen.gd,Ara+1,,,,,83,29,6,11,0,4,0,33,0,0,4629812,4629812,1,21,0,0,0,7,0,30,3,0,0,0,8,0,0
Ara+1.0.to.1000gen.gd,Ara+1,,,,,12,6,1,3,0,0,0,2,0,0,4629812,4629812,0,5,0,0,0,1,0,1,1,0,0,0,3,0,0
Ara+1.0.to.15000gen.gd,Ara+1,,,,,103,37,7,14,0,7,0,38,0,0,4629812,4629812,1,25,1,0,0,10,0,35,3,0,0,1,10,0,0
Ara+1.0.to.1500gen.gd,Ara+1,,,,,17,10,1,4,0,0,0,2,0,0,4629812,4629812,0,8,0,0,0,2,0,1,1,0,0,0,3,0,0
Ara+1.0.to.20000gen.gd,Ara+1,,,,,127,43,8,18,0,8,1,49,0,0,4629812,4629812,2,29,1,0,1,10,0,46,3,0,0,2,12,0,0
Ara+1.0.to.2000gen.gd,Ara+1,,,,,30,15,2,6,0,1,0,6,0,0,4629812,4629812,0,12,0,0,0,3,0,5,1,0,0,0,4,0,0
Ara+1.0.to.30000gen.gd,Ara+1,,,,,170,58,12,24,0,8,1,67,0,0,4629812,4629812,4,39,1,0,2,12,2,61,4,0,0,3,16,0,0
Ara+1.0.to.40000gen.gd,Ara+1,,,,,221,76,15,32,0,10,1,86,0,1,4629812,4629812,9,50,2,0,2,13,6,76,4,0,0,6,20,0,0
Ara+1.0.to.50000gen.gd,Ara+1,,,,,265,100,18,37,0,10,1,98,0,1,4629812,4629812,13,64,3,0,2,18,9,84,5,0,0,7,22,0,0
Ara+1.0.to.5000gen.gd,Ara+1,,,,,57,22,4,8,0,2,0,21,0,0,4629812,4629812,0,16,0,0,0,6,0,20,1,0,0,0,6,0,0
Ara+1.0.to.500gen.gd,Ara+1,,,,,7,4,0,2,0,0,0,1,0,0,4629812,4629812,0,3,0,0,0,1,0,0,1,0,0,0,2,0,0
Ara+1.10000gen.gd,Ara+1,,,,,41,10,3,5,0,2,0,21,0,0,4629812,4629812,1,7,0,0,0,2,0,19,2,0,0,0,4,0,0
Ara+1.1000gen.gd,Ara+1,,,,,6,3,1,1,0,0,0,1,0,0,4629812,4629812,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0
Ara+1.15000gen.gd,Ara+1,,,,,51,17,4,7,0,4,0,19,0,0,4629812,4629812,1,10,1,0,0,5,0,18,1,0,0,1,5,0,0
Ara+1.1500gen.gd,Ara+1,,,,,8,6,0,2,0,0,0,0,0,0,4629812,4629812,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0
Ara+1.20000gen.gd,Ara+1,,,,,62,19,5,9,0,2,1,26,0,0,4629812,4629812,2,13,0,0,1,3,0,25,1,0,0,2,5,0,0
