SPOT	Gene Symbol	0h	0.5h	3h	6h	12h
1	ZFX	-0.027	0.158	0.169	0.193	-0.165
2	ZNF133	0.183	-0.068	-0.134	-0.252	0.177
3	USP2	-0.67	-0.709	-0.347	-0.779	-0.403
4	DSCR1L1	-0.923	-0.51	-0.718	-0.512	-0.668
5	WNT5A	-0.471	-0.264	-0.269	-0.154	-0.254
6	VHL	-0.327	-0.378	-0.229	-0.264	-0.072
7	TCF3	-0.021	0.129	-0.209	-0.245	0.036
8	TCN2	-0.492	-0.41	-0.306	-0.494	-0.273
9	TIMP1	-0.111	0.351	0.168	0.129	-0.293
10	SERPINA7	-0.468	-0.488	-0.199	-0.144	-0.185
11	THBD	-1.013	-0.895	-0.743	-0.601	-0.543
12	EPHA2	0.13	0.313	0.645	-0.155	0.28
13	RBM5	0.015	-0.139	-0.14	-0.432	0.303
14	SFRS10	0.314	0.235	0.313	0.482	-0.303
15	SLC16A4	0.097	-0.432	-0.294	0.17	0.853
16	C20orf16	-0.203	0.147	0.267	0.29	0.508
17	RBM3	-0.253	0.987	0.451	0.245	-0.313
18	C3AR1	-0.364	0.109	-0.063	-0.129	-0.415
19	MLF2	-0.193	0.168	-0.005	-0.067	-0.06
20	ABCC5	0.161	0.025	-0.156	0.097	0.272
21	DAB2	-0.09	-0.079	-0.56	-1.054	-0.933
22	POLRMT	-0.1	0.032	-0.344	-0.307	-0.197
23	DECR1	0.191	-0.281	-0.242	0.103	0.005
24		0.143	0.036	0.092	0.048	-0.041
25	MAC30	-0.062	-0.316	-0.643	-0.536	-0.672
26	PPFIA1	0.18	-0.067	-0.048	-0.073	0.528
27	IGF2	-0.464	-0.319	-0.309	-0.23	-0.277
28	BIRC3	-0.199	-0.269	2.86	2.865	2.646
29	ELAVL1	0.298	0.471	0.198	0.003	0.107
30		0.345	0.287	0.112	0.183	0.182
31	ZNF148	0.204	0.285	0.085	0.411	0.164
32	TP53BP2	0.11	0.167	0.303	0.432	0.242
33		-0.553	-0.422	-0.435	-0.519	-0.247
34	OSBPL3	0.107	0.031	0.062	0.129	0.143
35	MAP4K2	0.091	-0.156	-0.228	-0.144	0.106
36	ABCB10	0.433	0.436	0.201	0.514	0.376
37	EHHADH	-0.054	-0.381	-0.54	-0.375	-0.262
38	EDNRB	-0.186	-0.262	-0.155	0.036	0.025
39	EDG1	-0.265	-0.247	-0.315	-0.177	-0.259
40	MAPK4	-0.538	-0.533	-0.631	-0.585	-0.491
41	SLC1A3	-0.105	-0.382	-0.736	-1.295	-2.042
42	ELF1	-0.048	0.031	-0.135	-0.381	-0.701
43	CTH	-1.264	-0.925	-0.82	-0.153	-0.205
44	CCND2	-0.445	-0.303	-0.421	-0.567	-0.242
45	CNGB1	-0.158	-0.323	-0.234	-0.393	-0.08
46	CRYM	-0.375	-0.422	-0.402	-0.246	-0.361
