tox21-esre-bla-p1_summary.csv tox21-nfkb-bla-p1_summary.csv tox21-ror-cho-antagonist-p1_pubchem_summary.csv tox21-rxr-bla-agonist-p1_pubchem_summary.csv tox21-ap1-bla-agonist-p1_pubchem_summary.csv
PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity
144213813,NCGC00257421-01,2,59,,,,active 170466763,NCGC00253704-01,2,62,,,,active 251919755,NCGC00357207-01,2,100,,,,active 144210199,NCGC00260546-01,2,100,,,,active 170466345,NCGC00167729-03,2,100,,,,active
144207253,NCGC00257609-01,2,57,,,,active 170466895,NCGC00161422-04,2,60,,,,active 144209378,NCGC00259729-01,2,98,,,,active 144212112,NCGC00256111-01,2,89,,,,active 144212283,NCGC00255876-01,2,90,,,,active
144209579,NCGC00259930-01,2,54,,,,active 144209579,NCGC00259930-01,2,58,,,,active 144213522,NCGC00257089-01,2,95,,,,active 144210727,NCGC00254380-01,2,87,,,,active 144206433,NCGC00247717-01,2,86,,,,active
170466763,NCGC00253704-01,2,54,,,,active 144210111,NCGC00260459-01,2,56,,,,active 170465087,NCGC00242506-02,2,95,,,,active 144210861,NCGC00254242-01,2,87,,,,active 144211912,NCGC00255796-01,2,80,,,,active
144210136,NCGC00260484-01,2,54,,,,active 170466074,NCGC00166247-02,2,54,,,,active 144208767,NCGC00259118-01,2,92,,,,active 144212558,NCGC00255906-01,2,84,,,,active 144212551,NCGC00255713-01,2,79,,,,active
144210111,NCGC00260459-01,2,53,,,,active 144208064,NCGC00258420-01,2,53,,,,active 144212799,NCGC00256738-01,2,91,,,,active 144208824,NCGC00259175-01,2,82,,,,active 144212783,NCGC00256681-01,2,78,,,,active
170466895,NCGC00161422-04,2,53,,,,active 144209687,NCGC00260038-01,2,49,,,,active 170466816,NCGC00017358-15,2,91,,,,active 170465045,NCGC00017280-23,2,82,,,,active 144212178,NCGC00255501-01,2,78,,,,active
144207908,NCGC00258264-01,2,53,,,,active 144209003,NCGC00259354-01,2,49,,,,active 170465129,NCGC00168784-03,2,90,,,,active 144210625,NCGC00254179-01,2,80,,,,active 144210184,NCGC00260531-01,2,77,,,,active
144212387,NCGC00255382-01,2,53,,,,active 144212696,NCGC00255696-01,2,47,,,,active 144208356,NCGC00258710-01,2,89,,,,active 251919755,NCGC00357207-01,2,79,,,,active 144209705,NCGC00260056-01,2,77,,,,active
144208126,NCGC00258482-01,2,53,,,,active 144210609,NCGC00254223-01,2,47,,,,active 144212558,NCGC00255906-01,2,89,,,,active 144213707,NCGC00257290-01,2,79,,,,active 251919880,NCGC00356984-01,2,77,,,,active
144209930,NCGC00260280-01,2,53,,,,active 170465613,NCGC00181782-03,2,45,,,,active 251919761,NCGC00357062-01,2,88,,,,active 144212724,NCGC00255426-01,2,78,,,,active 144209687,NCGC00260038-01,2,77,,,,active
144210121,NCGC00260469-01,2,53,,,,active 144214004,NCGC00090942-03,2,45,,,,active 144209787,NCGC00260137-01,2,87,,,,active 144207291,NCGC00257647-01,2,78,,,,active 170465260,NCGC00016013-06,2,76,,,,active
144209798,NCGC00260148-01,2,52,,,,active 144210965,NCGC00254556-01,2,42,,,,active 144210120,NCGC00260468-01,2,87,,,,active 144209528,NCGC00259879-01,2,76,,,,active 170465516,NCGC00016618-04,2,76,,,,active
144209427,NCGC00259778-01,2,52,,,,active 144208922,NCGC00259273-01,2,42,,,,active 144214033,NCGC00016000-13,2,87,,,,active 170465308,NCGC00181016-04,2,75,,,,active 144210721,NCGC00254447-01,2,76,,,,active
144212321,NCGC00255834-01,2,51,,,,active 144211461,NCGC00255042-01,2,42,,,,active 170464788,NCGC00022001-13,2,87,,,,active 144212512,NCGC00255697-01,2,67,,,,active 170465514,NCGC00249897-01,2,75,,,,active
144211088,NCGC00254675-01,2,51,,,,active 144210156,NCGC00260504-01,2,42,,,,active 144207461,NCGC00257817-01,2,86,,,,active 144211071,NCGC00254659-01,2,66,,,,active 144208657,NCGC00259010-01,2,75,,,,active
144210527,NCGC00253947-01,2,50,,,,active 144208673,NCGC00259026-01,2,42,,,,active 144208824,NCGC00259175-01,2,86,,,,active 144209798,NCGC00260148-01,2,66,,,,active 144214033,NCGC00016000-13,2,75,,,,active
144213197,NCGC00256325-01,2,50,,,,active 170464984,NCGC00017324-07,3,30,,,,inconclusive 170465109,NCGC00164625-04,2,86,,,,active 144213210,NCGC00256589-01,2,66,,,,active 144211307,NCGC00254892-01,2,75,,,,active
144210609,NCGC00254223-01,2,49,,,,active 144210962,NCGC00254553-01,3,30,,,,inconclusive 144209108,NCGC00259459-01,2,85,,,,active 144208826,NCGC00259177-01,2,65,,,,active 144207489,NCGC00257845-01,2,74,,,,active
144209978,NCGC00260326-01,2,49,,,,active 144210575,NCGC00254091-01,3,30,,,,inconclusive 144210448,NCGC00254107-01,2,85,,,,active 251919756,NCGC00357251-01,2,65,,,,active 144209719,NCGC00260070-01,2,74,,,,active
