PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Blue (46 nm) auto fluorescence outcome,Supplier
170466345,NCGC00167729-03,2,100,,,,active agonist,active agonist,0.057808791,123.1978995,active antagonist,0.049582363,-36.37264558,active agonist,0.039384671,100.82019,inactive,,0,inactive,Tocris
144212283,NCGC00255876-01,2,90,,,,active agonist,active agonist,0.30895594,129.7943629,active antagonist,0.255013525,-35.50505328,active agonist,0.202564443,103.2126446,inactive,,0,inactive,LightBiologicals
144206433,NCGC00247717-01,2,86,,,,active agonist,active agonist,0.464819758,126.4500279,active antagonist,0.242075728,-33.82053518,active agonist,0.341941055,106.7612405,inactive,,0,inactive,RTI
144211912,NCGC00255796-01,2,80,,,,active agonist,active agonist,0.518676473,109.2819488,active antagonist,2.649902421,-86.4088768,active agonist,0.419981231,90.41823781,active antagonist,4.119993672,-94.67992289,inactive,LightBiologicals
144212551,NCGC00255713-01,2,79,,,,active agonist,active agonist,0.218724055,92.08914318,active antagonist,0.640565014,-60.09483419,active agonist,0.184033357,77.82120039,inactive,,0,inactive,LightBiologicals
144212783,NCGC00256681-01,2,78,,,,active agonist,active agonist,1.183812755,122.4217125,active antagonist,0.822147387,-32.28415974,active agonist,0.904932838,105.9126452,inconclusive agonist,7.761571829,27.10716488,inactive,LightBiologicals
144212178,NCGC00255501-01,2,78,,,,active agonist,active agonist,2.753572711,152.4400906,active antagonist,7.468439754,-76.37154101,active agonist,1.875987248,98.6194968,inconclusive antagonist,54.94099862,-105.3755048,inactive,LightBiologicals
144210184,NCGC00260531-01,2,77,,,,active agonist,active agonist,0.104059606,75.10814024,active antagonist,0.596506957,-57.83891915,active agonist,0.098238603,57.72820154,active antagonist,1.23675074,-95.97369745,inactive,Enamine
144209705,NCGC00260056-01,2,77,,,,active agonist,active agonist,1.410079933,123.5956635,active antagonist,3.974145214,-94.98062159,active agonist,1.037314379,81.4183223,active antagonist,9.60676274,-106.3314166,inactive,TCI
251919880,NCGC00356984-01,2,77,,,,active agonist,active agonist,1.899592971,133.0619595,active antagonist,1.693014018,-25.01536437,active agonist,1.793331405,85.55484842,active antagonist,22.14762803,-97.50275381,,BOC Sciences
144209687,NCGC00260038-01,2,77,,,,active agonist,active agonist,4.225003188,165.7285458,active antagonist,4.740531547,-48.83850917,active agonist,2.770088906,123.8136254,inactive,,0,inactive,SIGMA
170465260,NCGC00016013-06,2,76,,,,active agonist,active agonist,1.344808836,115.8453819,active antagonist,1.110010843,-34.1628031,active agonist,0.816570877,96.54754736,inconclusive antagonist,25.3314794,-37.57313727,inactive,Microsource
170465516,NCGC00016618-04,2,76,,,,active agonist,active agonist,2.485004737,138.3277543,active antagonist,2.391445864,-40.6439168,active agonist,1.56793199,103.4992427,inactive,,0,inactive,"Prestwick Chemical, Inc."
144210721,NCGC00254447-01,2,76,,,,active agonist,active agonist,6.656253937,189.6420398,active antagonist,0.388952484,-36.04637735,active agonist,6.405650141,98.76220578,inconclusive agonist,0.489662166,60.1920146,inactive,Enamine
170465514,NCGC00249897-01,2,75,,,,active agonist,active agonist,0.253314794,81.52090364,active antagonist,1.24545265,-83.69559349,active agonist,0.150890033,65.89591747,active antagonist,4.958236305,-101.7167494,,GVK
144208657,NCGC00259010-01,2,75,,,,active agonist,active agonist,0.519818955,91.66396122,active antagonist,2.277816728,-76.08816188,active agonist,0.420906318,81.41358506,active antagonist,4.050594587,-81.8631349,inconclusive,SIGMA
144214033,NCGC00016000-13,2,75,,,,active agonist,active agonist,1.976211094,123.9333682,active antagonist,0.305883151,-38.52828632,active agonist,0.26915348,94.23494812,inconclusive,,,inactive,SIGMA
144211307,NCGC00254892-01,2,75,,,,active agonist,active agonist,4.11041805,153.1302563,active antagonist,6.514573585,-44.01697929,active agonist,2.747172902,104.5023224,active agonist,24.48420426,78.52701378,inactive,SIGMA
144207489,NCGC00257845-01,2,74,,,,active agonist,active agonist,0.373759177,85.09999673,active antagonist,0.508071926,-35.50376394,active agonist,0.308502389,70.78568156,active antagonist,30.85023894,-58.17600243,inactive,SIGMA
144209719,NCGC00260070-01,2,74,,,,active agonist,active agonist,1.230427222,107.2519336,active antagonist,12.30427222,-69.80571615,active agonist,1.434572819,91.01387249,active antagonist,15.49016097,-100.6236371,inactive,Sensient
144212317,NCGC00255964-01,2,73,,,,active agonist,active agonist,0.388952484,80.91467397,active antagonist,1.875987248,-86.63960974,active agonist,0.419981231,102.288279,active antagonist,3.466542659,-98.27788159,inactive,LightBiologicals
144209462,NCGC00259813-01,2,73,,,,active agonist,active agonist,2.046728693,116.6899484,active antagonist,1.969670638,-36.40196752,active agonist,1.62577439,103.1651927,inactive,,0,inactive,SIGMA
170465107,NCGC00015817-14,2,72,,,,active agonist,active agonist,2.051133307,112.2959316,active antagonist,2.051133307,-32.63681585,active agonist,1.56793199,89.42747672,inactive,,0,inactive,Enzo
144209981,NCGC00260329-01,2,72,,,,active agonist,active agonist,3.608283904,130.7628254,inconclusive antagonist,13.56128056,-87.1610167,inconclusive agonist,0.855658957,102.742442,inconclusive,,,inactive,Pfaltz-Bauer
170466798,NCGC00159420-04,2,71,,,,active agonist,active agonist,0.088171295,58.52311353,active antagonist,0.119856214,-28.01492141,active agonist,0.081657088,52.31830486,active antagonist,0.139742086,-41.88929786,inactive,Labotest
