PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Blue (460 nm) auto fluorescence outcome,Sample Source
144213813,NCGC00257421-01,2,59,,,,active agonist,active agonist,0.105507423,64.5221522,inactive,,0,active agonist,0.116131405,93.44755964,inconclusive,,,inactive,SIGMA
144207253,NCGC00257609-01,2,57,,,,active agonist,active agonist,0.096339329,56.16035787,inconclusive agonist,54.17558604,79.12792887,active agonist,0.068203022,43.27673823,active antagonist,56.29505983,-102.5057421,inactive,Spectrum Chemical
144209579,NCGC00259930-01,2,54,,,,active agonist,active agonist,42.66057816,377.1928855,active agonist,39.50876042,92.21026529,active agonist,49.73858248,1254.387988,inactive,,0,inactive,SIGMA
170466763,NCGC00253704-01,2,54,,,,active agonist,active agonist,18.99592971,194.7188851,active agonist,10.68219629,26.15280436,active agonist,16.93014018,362.730977,active antagonist,20.12150931,-79.60727042,,GVK
144210136,NCGC00260484-01,2,54,,,,active agonist,active agonist,1.920141937,80.46682575,active agonist,36.86945067,84.93566108,active agonist,6.556418499,271.3567302,inactive,,0,inactive,SIGMA
144210111,NCGC00260459-01,2,53,,,,active agonist,active agonist,51.53000908,451.8313252,active agonist,49.58993648,50.60170586,active agonist,51.53000908,997.5446853,inconclusive antagonist,31.28913463,-49.37790454,inactive,SIGMA
170466895,NCGC00161422-04,2,53,,,,active agonist,active agonist,16.29273099,170.5070166,inconclusive agonist,,17.91981101,active agonist,21.3137837,346.6501901,inactive,,0,inconclusive,Tocris
144207908,NCGC00258264-01,2,53,,,,active agonist,active agonist,2.701535526,82.24743586,active agonist,53.90272027,485.872853,active agonist,49.92031878,753.377112,inactive,,0,inconclusive,SIGMA
144212387,NCGC00255382-01,2,53,,,,active agonist,active agonist,2.361728019,82.21406183,active antagonist,,-16.2870507,active agonist,2.753572711,92.63844616,inactive,,0,inactive,Acros
144208126,NCGC00258482-01,2,53,,,,active agonist,active agonist,2.580117147,80.00630203,inconclusive antagonist,7.851863807,-21.62809564,active agonist,2.785946409,98.67861719,inactive,,0,inactive,FLUKA
144209930,NCGC00260280-01,2,53,,,,active agonist,active agonist,1.948249471,77.31627929,inactive,,0,active agonist,2.18597186,152.0660867,inactive,,0,inactive,SIGMA
144210121,NCGC00260469-01,2,53,,,,active agonist,active agonist,1.110703711,64.80794954,inactive,,0,active agonist,1.110703711,111.6601647,inactive,,0,inactive,SIGMA
144209798,NCGC00260148-01,2,52,,,,active agonist,active agonist,24.53824001,190.292822,active antagonist,10.96082919,-89.57085797,inconclusive agonist,1.737174357,24.25511215,active antagonist,5.493427661,-119.3070372,inactive,SIGMA
144209427,NCGC00259778-01,2,52,,,,active agonist,active agonist,0.423632154,52.35930468,inconclusive,,,active agonist,0.482675864,43.65554474,active antagonist,60.9989345,-93.41784641,inactive,SIGMA
144212321,NCGC00255834-01,2,51,,,,active agonist,active agonist,1.490149639,58.10653972,active antagonist,1.328097264,-50.73994537,inconclusive agonist,,8.53552755,active antagonist,0.616448144,-85.86529929,inactive,LightBiologicals
144211088,NCGC00254675-01,2,51,,,,active agonist,active agonist,0.360216179,43.42671198,inconclusive antagonist,,-12.37724236,active agonist,0.30895594,44.24040282,inactive,,0,inactive,LightBiologicals
144210527,NCGC00253947-01,2,50,,,,active agonist,active agonist,2.454124262,59.84211984,inactive,,0,active agonist,2.361728019,72.92144028,inactive,,0,inactive,Pharma
144213197,NCGC00256325-01,2,50,,,,active agonist,active agonist,1.38005549,53.21565827,active antagonist,1.302856395,-34.11171741,inconclusive agonist,1.22997575,21.14236884,active antagonist,0.388952484,-64.8496718,inactive,SIGMA
144210609,NCGC00254223-01,2,49,,,,active agonist,active agonist,48.96621656,290.3810855,active agonist,54.94099862,91.89635792,active agonist,52.8725044,800.5884888,inactive,,0,inactive,SIGMA
144209978,NCGC00260326-01,2,49,,,,active agonist,active agonist,4.227335668,64.04376823,active antagonist,2.118686669,-40.77107407,inconclusive agonist,7.962816982,28.1037185,active antagonist,1.588790865,-85.05886332,inactive,Sensient
144213317,NCGC00256542-01,2,49,,,,active agonist,active agonist,0.297323942,35.49166834,inconclusive antagonist,,-15.77596803,active agonist,0.419981231,41.17654109,inconclusive,,,inactive,SIGMA
144210703,NCGC00254338-01,2,48,,,,active agonist,active agonist,5.494099862,64.23952139,inactive,,0,active agonist,5.709041697,81.51941809,inactive,,0,inactive,SIGMA
144212084,NCGC00256161-01,2,48,,,,active agonist,active agonist,2.916732152,52.46968205,inactive,,0,active agonist,2.916732152,68.70826692,inconclusive antagonist,43.64118645,-53.3683553,inactive,Sigma DiscoveryCPR
144213892,NCGC00257287-01,2,47,,,,active agonist,active agonist,10.85634812,73.27258902,inactive,,0,active agonist,12.18102294,139.8194934,inactive,,0,inactive,SIGMA
144212558,NCGC00255906-01,2,46,,,,active agonist,active agonist,45.34853014,172.6813293,active antagonist,32.10430074,-91.3627278,inconclusive agonist,,,inconclusive antagonist,5.494099862,-102.5174427,inactive,LightBiologicals
144211071,NCGC00254659-01,2,46,,,,active agonist,active agonist,40.41692003,157.5137252,active antagonist,20.25644434,-80.00948659,inconclusive agonist,1.548447727,25.75936088,inconclusive antagonist,6.916661931,-94.6014349,inactive,SIGMA
144209003,NCGC00259354-01,2,46,,,,active agonist,active agonist,41.57199487,152.2902914,inactive,,0,active agonist,46.64454542,280.1774228,inconclusive antagonist,23.37765068,-41.53392701,inactive,Sensient
144213707,NCGC00257290-01,2,46,,,,active agonist,active agonist,32.10430074,126.0044786,active antagonist,15.48447727,-77.27403145,inconclusive agonist,,,active antagonist,1.38005549,-106.3287659,inactive,SIGMA
144210158,NCGC00260506-01,2,46,,,,active agonist,active agonist,18.03811428,78.53411136,inconclusive agonist,27.51214597,40.13975427,active agonist,17.35899056,168.5770874,inactive,,0,inactive,SIGMA
144209703,NCGC00260054-01,2,46,,,,active agonist,active agonist,13.64577252,65.96403908,inactive,,0,active agonist,15.31080859,101.9738779,inactive,,0,inactive,SIGMA
144210595,NCGC00254082-01,2,46,,,,active agonist,active agonist,0.143404644,20.48213408,inactive,,0,active agonist,0.097700447,20.68563958,inconclusive antagonist,,,inactive,SIGMA
144208064,NCGC00258420-01,2,45,,,,active agonist,active agonist,52.72375448,180.1914719,active antagonist,11.35898858,-30.11192087,inconclusive agonist,54.78642927,197.3130332,inactive,,0,inactive,SIGMA
144213129,NCGC00256339-01,2,45,,,,active agonist,active agonist,18.40333573,67.39762764,inconclusive antagonist,14.61828918,-46.88714595,inconclusive agonist,,,inconclusive antagonist,17.37386926,-80.13852716,inactive,Enamine
144206840,NCGC00183830-01,2,45,,,,active agonist,active agonist,16.29273099,60.25408852,inactive,,0,active agonist,15.6793199,99.0559809,inactive,,0,inconclusive,Pharmaron
170466119,NCGC00025216-03,2,45,,,,active agonist,active agonist,4.591915493,40.56999547,inconclusive antagonist,,-19.87629406,active agonist,4.25265894,47.61074015,inactive,,0,inactive,Tocris
170464908,NCGC00263442-01,2,45,,,,active agonist,active agonist,0.169301402,20.15935976,inactive,,0,active agonist,0.325082722,41.57998097,inconclusive antagonist,,,inactive,Specs
144210156,NCGC00260504-01,2,44,,,,active agonist,active agonist,53.40339694,149.8426837,inactive,,0,active agonist,55.49266091,248.6132911,inactive,,0,inactive,SIGMA
170465615,NCGC00253588-01,2,44,,,,active agonist,active agonist,24.85004737,64.08136757,active agonist,16.29273099,98.28374606,active agonist,24.85004737,249.2164469,active antagonist,1.131515621,-43.26514626,,GVK
170465580,NCGC00263529-01,2,44,,,,active agonist,active agonist,17.59248628,54.28644447,inactive,,0,active agonist,12.4545265,71.59404532,active antagonist,25.82223844,-45.28671565,inactive,Sequoia
144210965,NCGC00254556-01,2,43,,,,active agonist,active agonist,48.96621656,115.1321362,inactive,,0,active agonist,47.12266915,183.251618,inactive,,0,inconclusive,SIGMA
144208922,NCGC00259273-01,2,43,,,,active agonist,active agonist,50.54590398,98.9620257,inconclusive agonist,,,active agonist,52.52337623,203.2929188,inconclusive antagonist,,,inactive,SIGMA
144212493,NCGC00255169-01,2,43,,,,active agonist,active agonist,36.71948225,64.60646445,active antagonist,47.12266915,-72.69264483,active agonist,16.40199023,192.4570723,active antagonist,14.61828918,-114.8853955,inactive,Acros
144211195,NCGC00254782-01,2,43,,,,active agonist,active agonist,30.89559397,57.01301113,inconclusive antagonist,,-27.68120884,inconclusive agonist,,4.097450971,active antagonist,7.468439754,-91.7985113,inactive,Acros
170465003,NCGC00165740-05,2,43,,,,active agonist,active agonist,22.57670478,55.00323747,inactive,,0,active agonist,19.73909426,71.91351805,inactive,,0,inconclusive,Microsource
170466326,NCGC00253624-01,2,43,,,,active agonist,active agonist,27.88221174,51.46581831,inactive,,0,active agonist,27.88221174,53.31100605,inactive,,0,,GVK
144212390,NCGC00255626-01,2,43,,,,active agonist,active agonist,16.09026567,45.09764131,inconclusive antagonist,,,active agonist,8.064235741,42.73631815,inconclusive antagonist,0.173738693,-32.74713479,inconclusive,Acros
144214002,NCGC00090698-04,2,43,,,,active agonist,active agonist,16.40199023,36.70996887,inactive,,0,active agonist,26.75448213,34.48661717,inactive,,0,inactive,SIGMA
144211830,NCGC00256305-01,2,43,,,,active agonist,active agonist,16.71975395,36.51153672,inconclusive antagonist,,,active agonist,8.70756147,31.59865004,inconclusive antagonist,24.54124262,-36.26133003,inactive,LightBiologicals
170465856,NCGC00015964-17,2,43,,,,active agonist,active agonist,9.520517464,29.92562545,inactive,,0,active agonist,10.28001828,33.92294959,inactive,,0,inactive,Enzo
170466239,NCGC00167769-04,2,43,,,,active agonist,active agonist,5.353780407,28.43588616,inactive,,0,active agonist,7.003694936,41.4208411,inactive,,0,inactive,Microsource
170466454,NCGC00024633-07,2,43,,,,active agonist,active agonist,7.858274966,27.07146099,inactive,,0,active agonist,8.165708775,32.87314543,inactive,,0,inactive,Tocris
144214004,NCGC00090942-03,2,42,,,,active agonist,active agonist,51.79195861,77.78477448,inactive,,0,active agonist,32.48198863,69.14043272,active antagonist,20.23982122,-82.38855059,inconclusive,SIGMA
144213338,NCGC00256410-01,2,42,,,,active agonist,active agonist,36.02161789,57.82503283,active antagonist,57.09041697,-32.86223201,active agonist,11.83667932,35.03492472,active antagonist,30.89559397,-53.0259149,inactive,SIGMA
144207661,NCGC00258017-01,2,42,,,,active agonist,active agonist,41.01860374,57.12037424,inconclusive antagonist,,-17.16094206,inconclusive agonist,60.20707643,94.75687917,inconclusive agonist,,,inactive,SigmaAldrich
144208854,NCGC00259205-01,2,42,,,,active agonist,active agonist,34.54670456,54.61561013,inconclusive antagonist,48.79851724,-42.65491861,active agonist,3.876204006,28.54241348,active antagonist,28.51499449,-70.82042188,inactive,SIGMA
144212488,NCGC00255380-01,2,42,,,,active agonist,active agonist,18.05357502,30.01621472,inconclusive antagonist,48.96621656,-50.77103892,inconclusive agonist,0.922351692,24.60337689,active antagonist,16.09026567,-33.69660641,inactive,Acros
144208314,NCGC00258668-01,2,42,,,,active agonist,active agonist,22.01699268,29.543441,active agonist,51.21824167,143.2341501,active agonist,50.43801634,252.7481275,active antagonist,45.64830594,-66.89221077,inconclusive,Interchem
170465372,NCGC00167500-02,2,42,,,,active agonist,active agonist,11.98562137,27.59201278,inconclusive agonist,,19.54188492,active agonist,11.10010843,63.33310709,inactive,,0,inactive,LKT Lab
144209790,NCGC00260140-01,2,42,,,,active agonist,active agonist,14.9376266,23.43196428,inconclusive agonist,27.6024903,46.87031425,active agonist,25.56318317,79.30899777,inactive,,0,inactive,SIGMA
144212349,NCGC00255976-01,2,41,,,,active agonist,active agonist,54.94099862,67.97267244,active antagonist,51.8676473,-44.21203108,inconclusive agonist,51.8676473,22.49651943,inconclusive antagonist,43.64118645,-60.64111169,inactive,Acros
144210334,NCGC00254204-01,2,41,,,,active agonist,active agonist,54.94099862,65.30839976,inactive,,0,active agonist,54.94099862,98.04362515,inactive,,0,inactive,Enamine
144212012,NCGC00256278-01,2,41,,,,active agonist,active agonist,54.94099862,64.81626599,active antagonist,57.09041697,-44.82074895,inconclusive agonist,41.19993672,20.38831973,active antagonist,41.99812308,-65.76676248,inactive,SIGMA
144209033,NCGC00259384-01,2,41,,,,active agonist,active agonist,55.4657292,64.8112316,inactive,,0,active agonist,55.4657292,88.4540337,inactive,,0,inactive,SIGMA
144209424,NCGC00259775-01,2,41,,,,active agonist,active agonist,52.51725656,64.00156027,inactive,,0,active agonist,53.53469898,124.3145156,inactive,,0,inactive,SigmaAldrich
144212518,NCGC00255126-01,2,41,,,,active agonist,active agonist,54.32938501,57.42772083,active antagonist,54.32938501,-38.39013192,inconclusive agonist,,,inconclusive antagonist,34.27952449,-71.88057245,inactive,LightBiologicals
144213881,NCGC00257340-01,2,41,,,,active agonist,active agonist,46.22708932,53.05738282,active antagonist,48.96621656,-36.77893064,active agonist,,17.17491534,active antagonist,20.25644434,-35.58351265,inactive,Roche
144211375,NCGC00254960-01,2,41,,,,active agonist,active agonist,56.54602424,50.61047097,inconclusive antagonist,34.33487005,-65.10258572,inconclusive agonist,,17.09727454,inconclusive antagonist,19.30791632,-102.298935,inconclusive,SIGMA
144211854,NCGC00256279-01,2,41,,,,active agonist,active agonist,48.96621656,43.93540795,inactive,,0,active agonist,36.71948225,47.91181901,inconclusive antagonist,48.96621656,-51.35188523,inconclusive,LightBiologicals
144210798,NCGC00254498-01,2,41,,,,active agonist,active agonist,48.96621656,41.51547614,inactive,,0,active agonist,57.09041697,42.23106788,inactive,,0,inactive,LightBiologicals
144211956,NCGC00256198-01,2,41,,,,active agonist,active agonist,48.96621656,40.40819228,active antagonist,43.64118645,-34.65576084,inconclusive agonist,54.94099862,27.3541848,inactive,,0,inactive,SIGMA
144211589,NCGC00256185-01,2,41,,,,active agonist,active agonist,54.94099862,39.8322988,inconclusive agonist,,,active agonist,54.94099862,67.66889531,inactive,,0,inactive,SIGMA
144207684,NCGC00258040-01,2,41,,,,active agonist,active agonist,54.38354729,38.23601299,active antagonist,50.36562168,-32.25641382,inconclusive agonist,,15.16498403,inactive,,0,inactive,Chemos
144211995,NCGC00255985-01,2,41,,,,active agonist,active agonist,48.96621656,38.03160983,inactive,,0,active agonist,57.09041697,40.66004659,inactive,,0,inactive,SIGMA
144212397,NCGC00255409-01,2,41,,,,active agonist,active agonist,54.38027694,37.42057594,inactive,,0,active agonist,54.38027694,29.11478241,active antagonist,8.955876189,-44.86426683,inactive,Acros
144209574,NCGC00259925-01,2,41,,,,active agonist,active agonist,24.50821773,28.03239373,inconclusive antagonist,41.14449441,-24.48013104,active agonist,10.94741873,23.14991504,inactive,,0,inconclusive,Sensient
144209258,NCGC00259609-01,2,41,,,,active agonist,active agonist,47.28991561,26.54174222,inactive,,0,active agonist,52.05173451,48.83974062,inactive,,0,inactive,SigmaAldrich
170466653,NCGC00179511-03,2,41,,,,active agonist,active agonist,23.91445864,26.10934392,inactive,,0,active agonist,,18.60214115,inactive,,0,inactive,SIGMA
144210041,NCGC00260389-01,2,41,,,,active agonist,active agonist,42.20374409,25.21842255,inactive,,0,active agonist,46.45341517,59.95713526,inactive,,0,inconclusive,SIGMA
170464666,NCGC00179578-03,2,41,,,,active agonist,active agonist,26.83246392,23.04902862,inactive,,0,active agonist,26.83246392,39.94640102,inactive,,0,inactive,"Prestwick Chemical, Inc."
144209295,NCGC00259646-01,2,40,,,,active agonist,active agonist,59.81055867,31.91344649,inconclusive antagonist,55.39167844,-42.05517188,inconclusive agonist,,17.03211052,inactive,,0,inactive,SIGMA
