PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Blue (460 nm) auto fluorescence outcome,Sample Source
170466763,NCGC00253704-01,2,62,,,,active agonist,active agonist,15.08900332,51.31506121,inconclusive antagonist,21.3137837,-27.88174236,active agonist,12.4545265,74.59674224,inactive,,0,,GVK
170466895,NCGC00161422-04,2,60,,,,active agonist,active agonist,13.44808836,44.78139172,inactive,,0,active agonist,15.08900332,106.5683591,inactive,,0,inconclusive,Tocris
144209579,NCGC00259930-01,2,58,,,,active agonist,active agonist,44.3295583,98.41645177,active agonist,53.70648593,70.75930467,active agonist,47.86595597,303.0205335,inactive,,0,inactive,SIGMA
144210111,NCGC00260459-01,2,56,,,,active agonist,active agonist,49.58993648,101.573014,inconclusive agonist,55.64082388,32.75996414,active agonist,51.53000908,289.1098726,inconclusive antagonist,52.52832495,-32.67341341,inactive,SIGMA
170466074,NCGC00166247-02,2,54,,,,active agonist,active agonist,19.73909426,38.73972094,active antagonist,23.91445864,-90.09946245,inconclusive agonist,,14.53221997,inconclusive antagonist,23.91445864,-88.77626838,inactive,SIGMA
144208064,NCGC00258420-01,2,53,,,,active agonist,active agonist,48.82845648,85.26747872,active antagonist,13.24360835,-52.94320496,inconclusive agonist,54.78642927,56.4829609,inactive,,0,inactive,SIGMA
144209687,NCGC00260038-01,2,49,,,,active agonist,active agonist,22.86442978,30.61174038,inconclusive,,,active agonist,20.3779445,53.85574775,inactive,,0,inactive,SIGMA
144209003,NCGC00259354-01,2,49,,,,active agonist,active agonist,43.19838712,52.11261702,inactive,,0,active agonist,43.19838712,63.70771228,inconclusive antagonist,25.73164387,-62.67255775,inactive,Sensient
144212696,NCGC00255696-01,2,47,,,,active agonist,active agonist,22.72810437,24.15729254,active antagonist,28.61298815,-73.85096514,active agonist,,11.22756144,active antagonist,32.10430074,-76.72709101,inactive,LightBiologicals
144210609,NCGC00254223-01,2,47,,,,active agonist,active agonist,54.94099862,58.50674017,inconclusive agonist,54.94099862,61.68975832,active agonist,54.94099862,176.7573627,inactive,,0,inactive,SIGMA
170465613,NCGC00181782-03,2,45,,,,active agonist,active agonist,26.83246392,20.38655578,active antagonist,28.97302806,-46.03959968,inconclusive agonist,,14.29803924,active antagonist,24.85004737,-71.29984586,inactive,Prestwick
144214004,NCGC00090942-03,2,45,,,,active agonist,active agonist,50.88230279,42.77012456,active antagonist,53.63368179,-74.87954569,inconclusive agonist,,18.03222316,inconclusive antagonist,46.22756054,-92.55988993,inconclusive,SIGMA
144210965,NCGC00254556-01,2,42,,,,active agonist,active agonist,47.12266915,20.33465454,inactive,,0,active agonist,46.22708932,47.10641817,inactive,,0,inconclusive,SIGMA
144208922,NCGC00259273-01,2,42,,,,active agonist,active agonist,54.57821176,20.75193065,inconclusive agonist,3.443652356,22.67567654,active agonist,54.57821176,53.32773254,inconclusive antagonist,,,inactive,SIGMA
144211461,NCGC00255042-01,2,42,,,,active agonist,active agonist,55.27054004,27.50925384,active antagonist,49.25992066,-60.4145453,active agonist,,17.23436866,inactive,,0,inactive,ChemService
144210156,NCGC00260504-01,2,42,,,,active agonist,active agonist,55.49266091,26.54695172,inactive,,0,active agonist,55.49266091,63.31080936,inactive,,0,inactive,SIGMA
144208673,NCGC00259026-01,2,42,,,,active agonist,active agonist,64.94322226,34.65041201,active antagonist,62.49815057,-68.08944932,inconclusive agonist,62.49815057,24.98544997,active antagonist,55.70153533,-108.8443084,inactive,SigmaAldrich
170464984,NCGC00017324-07,3,30,,,,inconclusive agonist,inconclusive agonist,28.42238736,24.14333347,inconclusive antagonist,28.42238736,-37.15472904,inconclusive agonist,28.42238736,20.05458318,inconclusive antagonist,25.3314794,-54.29559848,inactive,Vitas
144210962,NCGC00254553-01,3,30,,,,inconclusive agonist,inconclusive agonist,36.71948225,35.5425738,active antagonist,45.34853014,-46.20659744,inconclusive agonist,36.71948225,49.05888104,inactive,,0,inactive,SIGMA
144210575,NCGC00254091-01,3,30,,,,inconclusive agonist,inconclusive agonist,51.33806068,97.850747,active antagonist,30.58013927,-68.80629557,inconclusive agonist,57.6022515,23.06820656,inactive,,0,inactive,Pharma
170465278,NCGC00178737-05,3,30,,,,inconclusive agonist,inconclusive agonist,,,inactive,,0,inconclusive agonist,,17.52524677,inconclusive antagonist,28.42238736,-55.35793883,inactive,Microsource
170466062,NCGC00091387-08,3,30,,,,inconclusive agonist,inconclusive agonist,,,active antagonist,,-15.93929502,inconclusive agonist,,,inactive,,0,inactive,Microsource
170465516,NCGC00016618-04,3,30,,,,inconclusive agonist,active agonist,,19.73928235,active antagonist,0.785827497,-22.61449345,active agonist,9.892982048,28.96308112,inactive,,0,inactive,"Prestwick Chemical, Inc."
144210334,NCGC00254204-01,3,30,,,,inconclusive agonist,active agonist,,18.06102763,inactive,,0,active agonist,54.94099862,45.14864871,inactive,,0,inactive,Enamine
144207908,NCGC00258264-01,3,30,,,,inconclusive agonist,active agonist,,17.98536581,active agonist,48.04085001,379.4928623,active agonist,32.72985015,178.6760499,inactive,,0,inconclusive,SIGMA
170466345,NCGC00167729-03,3,30,,,,inconclusive agonist,active agonist,,17.89914727,inconclusive antagonist,,,active agonist,0.258222384,30.16712736,inconclusive antagonist,,,inactive,Tocris
144209726,NCGC00260077-01,3,30,,,,inconclusive agonist,active agonist,,17.78934154,active antagonist,48.79252968,-36.69220808,active agonist,33.24196355,24.88719095,inconclusive antagonist,61.42615552,-60.34692406,inactive,Scher Chemicals
170465580,NCGC00263529-01,3,30,,,,inconclusive agonist,active agonist,,17.59346451,inconclusive antagonist,21.3137837,-51.76529818,inconclusive agonist,,,inconclusive antagonist,26.83246392,-70.98303073,inactive,Sequoia
170465183,NCGC00015693-09,3,30,,,,inconclusive agonist,active agonist,,17.54468112,active antagonist,9.162075938,-36.23156415,active agonist,0.301065197,25.08058141,inconclusive agonist,20.12150931,58.99523859,inactive,Microsource
144209999,NCGC00260347-01,3,30,,,,inconclusive agonist,active agonist,,16.82850224,active antagonist,50.67029911,-85.75079697,active agonist,,17.57999553,active antagonist,54.71253053,-123.3142817,inactive,SIGMA
144209666,NCGC00260017-01,3,30,,,,inconclusive agonist,inconclusive agonist,,16.21016172,inactive,,0,active agonist,24.16630721,65.25725797,inconclusive antagonist,12.82951657,-39.46119594,fluorescent,SigmaAldrich
144210136,NCGC00260484-01,3,30,,,,inconclusive agonist,active agonist,,16.19620827,active agonist,28.18382931,44.49053409,active agonist,4.823178479,47.24882041,inactive,,0,inactive,SIGMA
170466399,NCGC00013130-04,3,30,,,,inconclusive agonist,active agonist,,15.76856503,active antagonist,26.83246392,-40.37884874,inconclusive agonist,,16.94616059,inconclusive antagonist,22.57670478,-26.98487357,inactive,Labotest
144209948,NCGC00260298-01,3,30,,,,inconclusive agonist,inconclusive agonist,,15.72701294,inactive,,0,active agonist,13.90243061,24.08378575,inactive,,0,inactive,TCI
144209574,NCGC00259925-01,3,30,,,,inconclusive agonist,inconclusive agonist,,15.72129399,active antagonist,33.31540238,-24.78907851,inconclusive agonist,,16.17055052,inactive,,0,inconclusive,Sensient
144208314,NCGC00258668-01,3,30,,,,inconclusive agonist,active agonist,,15.35679814,active agonist,46.53267272,52.86676278,inconclusive agonist,51.21824167,54.70391244,active antagonist,55.30418517,-110.2388982,inconclusive,Interchem
144210158,NCGC00260506-01,3,30,,,,inconclusive agonist,active agonist,,15.33834611,inactive,,0,active agonist,23.14858595,40.80926331,inactive,,0,inactive,SIGMA
144212701,NCGC00255655-01,3,30,,,,inconclusive agonist,active agonist,,15.27743307,active antagonist,51.8676473,-72.85186996,inconclusive agonist,,13.79011188,active antagonist,41.99812308,-89.96311653,inactive,SIGMA
170465080,NCGC00016059-13,3,30,,,,inconclusive agonist,active agonist,,14.72562978,inconclusive antagonist,26.83246392,-21.09264706,active agonist,,18.00791206,active antagonist,1.24545265,-38.28328333,inactive,Enzo
144208119,NCGC00258475-01,3,30,,,,inconclusive agonist,active agonist,,14.57995812,active antagonist,60.06436568,-29.49706658,active agonist,,12.76741033,inactive,,0,inactive,Toronto Research
144208094,NCGC00258450-01,3,30,,,,inconclusive agonist,inconclusive agonist,,14.38391836,inconclusive antagonist,52.05808426,-25.51909681,active agonist,,13.40181111,inactive,,0,inactive,SIGMA
144209378,NCGC00259729-01,3,30,,,,inconclusive agonist,active agonist,,14.36936396,active antagonist,0.036405385,-55.19106396,inconclusive agonist,,11.72952794,active antagonist,0.312247491,-92.99675299,inactive,SigmaAldrich
170466175,NCGC00018223-06,3,30,,,,inconclusive agonist,inconclusive agonist,,14.23330227,inactive,,0,inconclusive agonist,26.83246392,24.85465915,inconclusive antagonist,2.012150931,-40.15189832,inactive,Prestwick
144212285,NCGC00255542-01,3,30,,,,inconclusive agonist,active agonist,,13.88488161,inactive,,0,active agonist,24.54124262,20.00288704,inactive,,0,inactive,SIGMA
170465107,NCGC00015817-14,3,30,,,,inconclusive agonist,inconclusive agonist,,13.80558977,inactive,,0,active agonist,5.353780407,21.55048709,inactive,,0,inactive,Enzo
170465615,NCGC00253588-01,3,30,,,,inconclusive agonist,inconclusive agonist,,13.79353223,active agonist,28.97302806,26.19654067,active agonist,26.83246392,42.87676439,inactive,,0,,GVK
144209033,NCGC00259384-01,3,30,,,,inconclusive agonist,inconclusive agonist,,13.41075872,inactive,,0,active agonist,57.63567636,22.81893221,inconclusive antagonist,55.4657292,-27.21133765,inactive,SIGMA
144206445,NCGC00247726-01,3,30,,,,inconclusive agonist,inconclusive agonist,,13.22618293,inactive,,0,inconclusive agonist,,16.54776384,inactive,,0,inactive,RTI
144206444,NCGC00247725-01,3,30,,,,inconclusive agonist,inconclusive agonist,,13.11199368,inactive,,0,inconclusive agonist,,19.95358882,inactive,,0,inactive,RTI
144206433,NCGC00247717-01,3,30,,,,inconclusive agonist,active agonist,,12.79909987,inconclusive antagonist,,,active agonist,,19.39584423,inactive,,0,inactive,RTI
144208765,NCGC00259116-01,3,30,,,,inconclusive agonist,inconclusive agonist,,12.76671182,active agonist,21.42547688,93.44179919,active agonist,23.13469775,61.93184063,inactive,,0,fluorescent,SIGMA
144211589,NCGC00256185-01,3,30,,,,inconclusive agonist,active agonist,,12.74229793,inactive,,0,active agonist,57.09041697,29.91333163,inactive,,0,inactive,SIGMA
170465337,NCGC00263557-01,3,30,,,,inconclusive agonist,inconclusive agonist,,12.56738641,inactive,,0,active agonist,,19.59712929,inactive,,0,inactive,Bosche
144213195,NCGC00256588-01,3,30,,,,inconclusive agonist,inconclusive agonist,,12.55269868,active antagonist,,-17.11568651,active agonist,,19.33747045,inactive,,0,inactive,SIGMA
144210534,NCGC00253948-01,3,30,,,,inconclusive agonist,active agonist,,12.22681916,active antagonist,,-18.76345616,active agonist,,15.95200197,inactive,,0,inactive,Pharma
