PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity Summary,Antagonist Activity,Antagonist Potency (uM),Antagonist Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
251919755,NCGC00357207-01,2,100,,,,active antagonist,active antagonist,0.062653172,-114.6153671,active antagonist,0.410780413,-76.28788808,Sigma Chemical Company
144209378,NCGC00259729-01,2,98,,,,active antagonist,active antagonist,0.018085188,-92.9518914,active antagonist,2.458421549,-80.15037446,SigmaAldrich
144213522,NCGC00257089-01,2,95,,,,active antagonist,active antagonist,0.042154673,-95.88053855,active antagonist,2.763836761,-109.537818,LightBiologicals
170465087,NCGC00242506-02,2,95,,,,active antagonist,active antagonist,0.029849295,-90.1672145,active antagonist,0.123481172,-70.53342644,Selleck
144208767,NCGC00259118-01,2,92,,,,active antagonist,active antagonist,0.075864441,-93.87890817,active antagonist,14.01860914,-76.25086126,SIGMA
144212799,NCGC00256738-01,2,91,,,,active antagonist,active antagonist,0.112960102,-97.78187279,active antagonist,0.566141609,-83.21403576,LightBiologicals
170466816,NCGC00017358-15,2,91,,,,active antagonist,active antagonist,0.057314883,-89.4120736,inconclusive antagonist,,,Microsource
170465129,NCGC00168784-03,2,90,,,,active antagonist,active antagonist,0.123481172,-95.53215613,inactive,,0,Prestwick
144208356,NCGC00258710-01,2,89,,,,active antagonist,active antagonist,0.199649572,-99.4346314,inconclusive antagonist,1.360196697,-35.26961871,EMD Chemicals
144212558,NCGC00255906-01,2,89,,,,active antagonist,active antagonist,0.121971512,-90.43432213,active antagonist,0.467295654,-90.17630642,LightBiologicals
251919761,NCGC00357062-01,2,88,,,,active antagonist,active antagonist,0.165802755,-94.28574408,active antagonist,1.151485329,-62.03243205,Sigma Chemical Company
144209787,NCGC00260137-01,2,87,,,,active antagonist,active antagonist,0.237348933,-94.51980306,active antagonist,14.97570522,-92.51832275,SIGMA
144210120,NCGC00260468-01,2,87,,,,active antagonist,active antagonist,0.031804109,-70.31685918,inactive,,0,SIGMA
144214033,NCGC00016000-13,2,87,,,,active antagonist,active antagonist,0.170095864,-91.76814136,active antagonist,7.974880021,-82.86738357,SIGMA
170464788,NCGC00022001-13,2,87,,,,active antagonist,active antagonist,0.01333319,-63.49543403,inactive,,0,Vitas
144207461,NCGC00257817-01,2,86,,,,active antagonist,active antagonist,0.303576587,-96.14281229,active antagonist,5.39843994,-86.41538604,SigmaAldrich
144208824,NCGC00259175-01,2,86,,,,active antagonist,active antagonist,0.217340655,-88.94412489,active antagonist,1.31969723,-85.16759325,SigmaAldrich
170465109,NCGC00164625-04,2,86,,,,active antagonist,active antagonist,0.029849295,-68.38580939,active antagonist,0.298492948,-39.55432152,Sequoia
144209108,NCGC00259459-01,2,85,,,,active antagonist,active antagonist,0.204349862,-87.24225615,active antagonist,7.534267144,-88.90338525,SIGMA
144210448,NCGC00254107-01,2,85,,,,active antagonist,active antagonist,0.240892364,-88.02815847,active antagonist,3.674145637,-78.56135638,SIGMA
144211722,NCGC00255531-01,2,85,,,,active antagonist,active antagonist,0.234202616,-86.84544474,active antagonist,2.528861677,-99.75616574,SIGMA
170466228,NCGC00263563-01,2,85,,,,active antagonist,active antagonist,0.348017227,-93.06156734,active antagonist,7.215516248,-94.11141733,Bosche
144209102,NCGC00259453-01,2,84,,,,active antagonist,active antagonist,0.164804297,-79.50911788,inactive,,0,SIGMA
144210721,NCGC00254447-01,2,84,,,,active antagonist,active antagonist,0.357211206,-90.89268598,inconclusive antagonist,24.33651622,-112.743312,Enamine
144213707,NCGC00257290-01,2,84,,,,active antagonist,active antagonist,0.343762429,-90.92222613,active antagonist,1.219715124,-69.63700982,SIGMA
144209719,NCGC00260070-01,2,83,,,,active antagonist,active antagonist,0.544826733,-94.83766403,active antagonist,5.882903737,-95.89881402,Sensient
