PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Blue (46 nm) auto fluorescence outcome,Supplier
144210199,NCGC00260546-01,2,100,,,,active agonist,active agonist,0.002139204,118.7321917,inconclusive antagonist,0.537343732,-34.5830776,active agonist,0.003591304,125.9526301,active antagonist,0.426827298,-96.70758384,inactive,SigmaAldrich
144212112,NCGC00256111-01,2,89,,,,active agonist,active agonist,0.020256444,122.5198796,active antagonist,12.78095233,-36.06428394,active agonist,0.043641186,126.7383751,active antagonist,1.609026567,-100.6706784,inactive,Sigma DiscoveryCPR
144210727,NCGC00254380-01,2,87,,,,active agonist,active agonist,0.006656254,103.2725545,active antagonist,6.164481435,-39.34153388,active agonist,0.012299757,150.5405792,active antagonist,1.434046438,-94.311018,inactive,Sigma DiscoveryCPR
144210861,NCGC00254242-01,2,87,,,,active agonist,active agonist,0.006656254,104.8918111,inconclusive antagonist,4.896621656,-30.69267886,active agonist,0.020648882,142.9034593,active antagonist,1.548447727,-113.9402544,inactive,SIGMA
144212558,NCGC00255906-01,2,84,,,,active agonist,active agonist,0.004199812,94.26101536,inconclusive agonist,0.549409986,77.31022281,active agonist,0.012299757,130.6367204,active antagonist,0.489662166,-98.84711208,inactive,LightBiologicals
144208824,NCGC00259175-01,2,82,,,,active agonist,active agonist,0.01232685,98.66851423,inconclusive antagonist,9.791565017,-37.53095067,active agonist,0.02759638,137.1044672,active antagonist,1.05726887,-97.94802652,inactive,SigmaAldrich
170465045,NCGC00017280-23,2,82,,,,active agonist,active agonist,0.021313784,105.4596745,inactive,,0,active agonist,0.213137837,157.4536333,inconclusive antagonist,21.3137837,-70.02367489,inactive,Microsource
144210625,NCGC00254179-01,2,80,,,,active agonist,active agonist,0.080553567,119.7954066,inactive,,0,active agonist,1.432467495,149.3359379,inconclusive antagonist,,,inactive,SIGMA
251919755,NCGC00357207-01,2,79,,,,active agonist,active agonist,0.006957041,86.70653884,inconclusive antagonist,7.805928321,-52.28690105,active agonist,0.016497744,149.5672008,active antagonist,0.502062624,-97.11848416,,Sigma Chemical Company
144213707,NCGC00257290-01,2,79,,,,active agonist,active agonist,0.018403336,96.68624928,active antagonist,8.064235741,-34.61438182,active agonist,0.015484477,135.9459437,active antagonist,1.22997575,-95.52251451,inactive,SIGMA
144212724,NCGC00255426-01,2,78,,,,active agonist,active agonist,0.017373869,93.28919949,inactive,,0,active agonist,0.021872406,84.22324679,active antagonist,51.8676473,-96.51297056,inactive,Waterstone
144207291,NCGC00257647-01,2,78,,,,active agonist,active agonist,0.036827331,104.0421326,inactive,,0,active agonist,0.347672423,157.4496338,inconclusive antagonist,9.79874022,-43.94457432,inactive,SIGMA
144209528,NCGC00259879-01,2,76,,,,active agonist,active agonist,0.043705268,98.60611651,inactive,,0,active agonist,0.6415056,129.0817091,inconclusive antagonist,21.90452223,-50.84631,inactive,SIGMA
