Week,Class Topic,Reading_Chapter,Reading_Source,Activity,Homework,
1,Python variables & Types,01-06,Whirlwind Tour of Python,DataCamp - Python Basics,Find a cool notebook to share with the class,
1,IPython/Jupyter Notebooks,01.01-01.04,Python Data Science Handbook,,,
2,UNIX/bash/shell,01-03,Software Carpentry - Shell,DataCamp - Files and Directories,"Write the ""Hello World"" Program",
2,IPython shell commands,01.05,Python Data Science Handbook,,,
3,Git and GitHub,01-07,Software Carpentry - Git,Try Git: Git Tutorial,Create a GitHub repo for the Hello World assignment,
4,Lists,07,Whirlwind Tour of Python,DataCamp - Python Lists,"Write the ""GC%"" Program and push it to GitHub",
5,Columbus Day - No class,,,,,
6,Loops,08,Whirlwind Tour of Python,DataCamp - Loops,Give an example of how you might use a loop,
7,Conditionals,08,Whirlwind Tour of Python,DataCamp - Logic and Control Flow,Give an example of how you might use conditionals,
8,Functions,09,Whirlwind Tour of Python,DataCamp - Functions and Packages,"Write the ""Cubed"" Program and push it to GitHub",
9,Numpy,02,Python Data Science Handbook,DataCamp - Numpy,Numpy problem set,
10,Dictionaries and Pandas,03,Python Data Science Handbook,DataCamp - Dictionaries & Pandas,Pandas problem set,
11,DataViz,04,Python Data Science Handbook,DataCamp - Matplotlib,Prepare a plot using Matplotlib to share with the class,
12,Machine Learning,05,Python Data Science Handbook,DataCamp - Titanic 1,Give an example of how you might use machine learning,
13,Biopython,00-02,Biopython-Notebook,DataCamp - Titanic 2,Work on Final Project/Presentation,
14,Student Presentations,,,DataCamp - Titanic 3,Work on Final Project/Presentation,
15,Student Presentations,,,,,
