Week,Class_Date,Class_Topic,Chapter,Reading_Source,Activity,Homework,Due_Date
1,2017-09-11,Python Variables & Types,01-06,Whirlwind Tour of Python,DataCamp - Python Basics,Find a cool Jupyter Notebook to share with the class,2017-09-18
1,2017-09-11,IPython/Jupyter Notebooks,01.01-01.04,Python Data Science Handbook,,,
2,2017-09-18,UNIX/bash/shell,01-03,Software Carpentry - Shell,DataCamp - Files and Directories,"Write the ""Hello World"" Program",2017-09-25
2,2017-09-18,IPython shell commands,01.05,Python Data Science Handbook,,,
3,2017-09-25,Git and GitHub,01-07,Software Carpentry - Git,Try Git: Git Tutorial,Create a GitHub repo for the Hello World assignment,2017-10-02
4,2017-10-02,Data Structures (e.g. Lists),07,Whirlwind Tour of Python,DataCamp - Python Lists,"Write the ""GC%"" Program and push it to GitHub",2017-10-16
5,None,Columbus Day - No class,,,,,
6,2017-10-16,Loops,08,Whirlwind Tour of Python,DataCamp - Loops,Give an example of how you might use a loop,2017-10-23
7,2017-10-23,Conditionals,08,Whirlwind Tour of Python,DataCamp - Logic and Control Flow,Give an example of how you might use conditionals,2017-10-30
8,2017-10-30,Functions,09,Whirlwind Tour of Python,DataCamp - Functions and Packages,"Write the ""Cubed"" Program and push it to GitHub",2017-11-06
9,2017-11-06,NumPy,02,Python Data Science Handbook,DataCamp - Numpy,Numpy problem set,2017-11-13
10,2017-11-13,Pandas and Dictionaries,03,Python Data Science Handbook,DataCamp - Dictionaries & Pandas,Pandas problem set,2017-11-20
11,2017-11-20,DataViz,04,Python Data Science Handbook,DataCamp - Matplotlib,Prepare a plot using Matplotlib to share with the class,2017-11-27
12,2017-11-27,Machine Learning,05,Python Data Science Handbook,DataCamp - Titanic 1,Give an example of how you might use machine learning,2017-12-04
13,2017-12-04,Biopython,00-02,Biopython-Notebook,DataCamp - Titanic 2,Work on Final Project/Presentation,2017-12-11
14,2017-12-11,Student Presentations,,,DataCamp - Titanic 3,Work on Final Project/Presentation,2017-12-18
15,2017-12-18,Student Presentations,,,,,
